country,total_population,gdp,defense_budget,external_debt,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,trainer_aircraft,special_mission_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,self_propelled_artillery,towed_artillery,rocket_artillery,power_index,total_military_assets,assets_per_capita,budget_to_gdp_ratio,rank,power_index_rank_gap
Mexico,130739927.0,2883000000000.0,9100000000.0,306308000000.0,61447766.0,387000.0,98653.0,30515.0,275443.0,92043.0,424.0,32.0,2.0,40.0,173.0,175.0,25.0,0.0,0.0,164.0,0.0,0.0,0.0,1.0,3.0,0.0,142.0,0.0,0.0,35.0,0.0,0.0,0.6401,588.0,9.569102967876814e-06,0.0031564342698577872,36,35
Estonia,1193791.0,57001000000.0,2375000000.0,29040000000.0,584958.0,7700.0,230000.0,400.0,44000.0,550.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,48.0,0.0,6.0,2.3201,10.0,1.7095244444900317e-05,0.041665935685338856,106,105
Iceland,364036.0,26561000000.0,500000000.0,24200000000.0,83728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4013,0.0,0.0,0.01882459244757351,134,133
Serbia,6652212.0,177093000000.0,2770000000.0,21726000000.0,3259584.0,22500.0,2000.0,3000.0,13200.0,0.0,115.0,17.0,11.0,3.0,51.0,33.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,96.0,150.0,73.0,1.2938,357.0,0.00010952317841785945,0.015641499099343283,63,62
Lebanon,5364482.0,65415000000.0,800000000.0,41619000000.0,2092148.0,80000.0,15000.0,2500.0,99000.0,1500.0,80.0,9.0,0.0,0.0,68.0,9.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,334.0,12.0,350.0,11.0,2.6521,462.0,0.00022082567772452045,0.012229610945501797,118,117
Greece,10461091.0,192205000000.0,8242150000.0,605000000000.0,4916713.0,142700.0,221350.0,42500.0,200000.0,30000.0,560.0,0.0,178.0,17.0,285.0,86.0,8.0,28.0,0.0,186.0,0.0,0.0,0.0,14.0,0.0,9.0,45.0,3.0,1344.0,589.0,698.0,152.0,0.5484,2090.0,0.00042508073991709503,0.04288207903020213,30,29
Georgia,4900961.0,91849000000.0,680000000.0,9085000000.0,2744538.0,37000.0,205500.0,3000.0,205500.0,0.0,61.0,5.0,0.0,2.0,44.0,10.0,0.0,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,4.0,132.0,67.0,121.0,42.0,2.0779,212.0,7.724433037545846e-05,0.007403455671809165,95,94
Liberia,5437249.0,9308000000.0,20700000.0,1335000000.0,2392390.0,2100.0,0.0,0.0,2100.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,3.9275,6.0,2.507952298747278e-06,0.0022238934250107434,141,140
Benin,14697052.0,56424000000.0,137690000.0,6309000000.0,5584880.0,4750.0,0.0,300.0,4750.0,200.0,7.0,0.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,0.0,3.8963,9.0,1.6114938906476056e-06,0.0024402736424216647,139,138
Cuba,10966038.0,81165000000.0,3301500000.0,36372600000.0,5921661.0,50000.0,40000.0,4120.0,90000.0,3550.0,20.0,0.0,11.0,4.0,13.0,3.0,0.0,4.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,0.0,6.0,4.0,194.0,140.0,364.0,200.0,1.3345,233.0,3.9347068330996997e-05,0.04067639992607651,65,64
Vietnam,105758975.0,1456000000000.0,10200000000.0,34426000000.0,54994667.0,450000.0,5000000.0,35000.0,5450000.0,50000.0,265.0,0.0,61.0,6.0,101.0,91.0,3.0,0.0,0.0,116.0,0.0,0.0,0.0,9.0,17.0,6.0,27.0,8.0,1999.0,30.0,3250.0,774.0,0.4066,2380.0,4.327692356060634e-05,0.007005494505494506,23,22
Denmark,5973136.0,440558000000.0,14250000000.0,611050000000.0,2628180.0,21000.0,12000.0,3475.0,88400.0,3600.0,122.0,19.0,26.0,4.0,34.0,36.0,3.0,0.0,0.0,50.0,0.0,0.0,0.0,9.0,0.0,0.0,9.0,6.0,44.0,19.0,0.0,8.0,0.8198,216.0,8.218615163344976e-05,0.03234534385937833,45,44
Bosnia And Herzegovina,3798671.0,64641000000.0,289920000.0,5359000000.0,2355176.0,18000.0,8000.0,2100.0,26000.0,0.0,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,300.0,24.0,3.1291,60.0,2.5475803082232495e-05,0.004485079129345152,133,132
Mali,21990607.0,71253000000.0,1110000000.0,4085000000.0,6817088.0,40000.0,0.0,550.0,44800.0,0.0,44.0,12.0,9.0,8.0,10.0,4.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,2.2598,44.0,6.454368786203141e-06,0.015578291440360405,104,103
Slovakia,5563649.0,218762000000.0,2900000000.0,140360000000.0,2837461.0,20982.0,0.0,3200.0,18282.0,0.0,48.0,0.0,7.0,7.0,22.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,35.0,9.0,25.0,1.3911,93.0,3.277578088297954e-05,0.013256415648055879,69,68
Chad,19093595.0,52895000000.0,706800000.0,2286000000.0,6873694.0,37750.0,0.0,350.0,37750.0,0.0,40.0,7.0,0.0,7.0,16.0,8.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,10.0,13.0,16.0,1.8594,130.0,1.8912683631246896e-05,0.01336232158048965,85,84
China,1415043270.0,33598000000000.0,303000000000.0,488114000000.0,764123366.0,2035000.0,510000.0,403000.0,2545000.0,384000.0,3529.0,371.0,1443.0,287.0,1007.0,401.0,105.0,281.0,9.0,841.0,3.0,4.0,53.0,46.0,50.0,61.0,150.0,36.0,5870.0,2940.0,1400.0,2770.0,0.0919,10240.0,1.3400977454208617e-05,0.009018393952020953,3,2
Venezuela,31250306.0,110943000000.0,6060000000.0,121363000000.0,15625153.0,109000.0,8000.0,10755.0,300745.0,25500.0,224.0,0.0,30.0,47.0,85.0,75.0,3.0,10.0,1.0,41.0,0.0,0.0,0.0,1.0,0.0,3.0,26.0,0.0,282.0,60.0,92.0,56.0,0.9106,547.0,3.500765720502065e-05,0.05462264406046348,51,50
